230506_2500mHz_18mm_0%2_50um_3mm_0500mW_0_037deg5_L1 a (speed [cm/min]) -0.0 b 3.1016639447211007 chi2, rank, singular values, rcond (array([0.00219377]), 2, array([1.38472233, 0.28730485]), 1.836308882730009e-13)
230506_2500mHz_18mm_0%2_50um_3mm_0500mW_0_037deg5_L2 a (speed [cm/min]) -0.0 b 2.9927296875 chi2, rank, singular values, rcond (array([1.33513121e-28]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230506_2500mHz_18mm_0%2_50um_3mm_0500mW_0_037deg5_L3 a (speed [cm/min]) 0.01 b 2.698081057573117 chi2, rank, singular values, rcond (array([0.00081382]), 2, array([1.38471417, 0.28734416]), 1.8629542353210127e-13)
230506_2500mHz_18mm_0%2_50um_3mm_0500mW_0_037deg5_L4 a (speed [cm/min]) -0.01 b 2.445418638612869 chi2, rank, singular values, rcond (array([0.00084451]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230506_2500mHz_18mm_0%2_50um_3mm_0500mW_0_037deg5_L5 a (speed [cm/min]) -0.0 b 2.561107790590037 chi2, rank, singular values, rcond (array([0.00015504]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230506_2500mHz_18mm_0%2_50um_3mm_0500mW_0_037deg5_R1 a (speed [cm/min]) -0.0 b 2.806874389421036 chi2, rank, singular values, rcond (array([0.00094579]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230506_2500mHz_18mm_0%2_50um_3mm_0500mW_0_037deg5_R2 a (speed [cm/min]) -0.06 b 3.2727763557787535 chi2, rank, singular values, rcond (array([0.00123952]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230506_2500mHz_18mm_0%2_50um_3mm_0500mW_0_037deg5_R3 a (speed [cm/min]) -0.0 b 2.7073593750000007 chi2, rank, singular values, rcond (array([4.82823605e-28]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230506_2500mHz_18mm_0%2_50um_3mm_0500mW_0_037deg5_R4 a (speed [cm/min]) 0.0 b 2.4216271401014984 chi2, rank, singular values, rcond (array([0.00024942]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230506_2500mHz_18mm_0%2_50um_3mm_0500mW_0_037deg5_R5 a (speed [cm/min]) -0.08 b 2.1004502561678478 chi2, rank, singular values, rcond (array([0.00454273]), 2, array([1.38336215, 0.29378422]), 1.7363888105137448e-13)
230506_3000mHz_18mm_0%2_50um_1mm_0500mW_1_030deg0_L1 a (speed [cm/min]) -0.0 b 2.463198411283413 chi2, rank, singular values, rcond (array([0.0013963]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230506_3000mHz_18mm_0%2_50um_1mm_0500mW_1_030deg0_L2 a (speed [cm/min]) 0.0 b 2.6525071505489812 chi2, rank, singular values, rcond (array([0.00014523]), 2, array([1.38469329, 0.28744478]), 1.8607337892717624e-13)
230506_3000mHz_18mm_0%2_50um_1mm_0500mW_1_030deg0_L3 a (speed [cm/min]) -0.0 b 2.8390687500000014 chi2, rank, singular values, rcond (array([3.30954898e-28]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230506_3000mHz_18mm_0%2_50um_1mm_0500mW_1_030deg0_L4 a (speed [cm/min]) 0.0 b 2.5927222386617292 chi2, rank, singular values, rcond (array([0.00215372]), 2, array([1.38528617, 0.28457378]), 1.6342482922482304e-13)
230506_3000mHz_18mm_0%2_50um_1mm_0500mW_1_030deg0_L5 a (speed [cm/min]) 0.0 b 2.367166026956408 chi2, rank, singular values, rcond (array([0.00195807]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230506_3000mHz_18mm_0%2_50um_1mm_0500mW_1_030deg0_R1 a (speed [cm/min]) -0.0 b 3.1683421875000004 chi2, rank, singular values, rcond (array([5.59884276e-28]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230506_3000mHz_18mm_0%2_50um_1mm_0500mW_1_030deg0_R2 a (speed [cm/min]) -0.0 b 3.256261534180367 chi2, rank, singular values, rcond (array([0.00075811]), 2, array([1.38471427, 0.28734369]), 1.8629542353210127e-13)
230506_3000mHz_18mm_0%2_50um_1mm_0500mW_1_030deg0_R3 a (speed [cm/min]) 0.0 b 2.989499219416709 chi2, rank, singular values, rcond (array([0.00182945]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230506_3000mHz_18mm_0%2_50um_1mm_0500mW_1_030deg0_R4 a (speed [cm/min]) -0.01 b 2.740638447213766 chi2, rank, singular values, rcond (array([0.00203518]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230506_3000mHz_18mm_0%2_50um_1mm_0500mW_1_030deg0_R5 a (speed [cm/min]) -0.0 b 2.9122526514316767 chi2, rank, singular values, rcond (array([2.67051425e-05]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
