GA 1;;;;;;;;;;;;;;;;;;;;;
iteration no;robot no;frequency [Hz];length [mm];dye [%mol];thickness [µm];curl length [mm];laser power [W];right side [down 0. up 1];waveplate angle [deg];L1 [cm/min];L2 [cm/min];L3 [cm/min];L4 [cm/min];L5 [cm/min];R1 [cm/min];R2 [cm/min];R3 [cm/min];R4 [cm/min];R5 [cm/min];fitness function (max average);params
2;4;0.4;12;1;50;2;2;1;52.5;0.19;0.89;0.6;0.53;-0.04;1.28;1.38;1.7;1.38;1.17;1.382;0400mHz_12mm_1%0_50um_2mm_2500mW_1_082deg
2;5;2.3;18;1;50;2;3.2;1;82.5;1.84;1.38;1.27;1.53;1.59;-0.22;-0.53;-0.55;-0.53;-0.68;1.522;2300mHz_18mm_1%0_50um_2mm_4000mW_1_112deg
2;6;0.6;12;1;50;1;2.8;1;37.5;1.33;-0.81;-0.48;-0.95;-0.5;2.47;1.54;1.71;-0.23;0.12;1.122;0600mHz_12mm_1%0_50um_1mm_3500mW_1_067deg
2;7;1.3;12;1;50;1;2.4;1;60;-0.29;-0.94;-0.39;-0.12;0;-0.5;-0.42;-0.31;-0.42;-0.38;0.406;1300mHz_12mm_1%0_50um_1mm_3000mW_1_090deg
2;8;0.1;12;1;50;1;2.8;1;67.5;0.31;1.52;0.84;-0.21;0.01;0.6;0.49;-0.04;0.19;0.34;0.494;0100mHz_12mm_1%0_50um_1mm_3500mW_1_097deg
3;1;2.5;18;1;50;2;3.2;1;15;0.87;0.03;0.14;0.05;0.03;-0.5;-0.76;-0.6;-0.4;-0.48;0.548;2500mHz_18mm_1%0_50um_2mm_4000mW_1_045deg
3;2;2.7;18;1;50;2;3.2;1;82.5;-0.12;0;0.76;-0.14;-0.02;-1.07;-0.72;-0.59;-0.89;-0.56;0.766;2700mHz_18mm_1%0_50um_2mm_4000mW_1_112deg
3;3;2.1;18;1;50;2;2.8;1;67.5;0.26;0.28;0.17;0.32;0.19;-0.66;-0.43;-0.11;-0.43;-0.03;0.332;2100mHz_18mm_1%0_50um_2mm_3500mW_1_097deg
3;4;1.2;12;1;50;2;2.4;1;67.5;0.16;0.43;0.4;-0.26;-1.02;0.01;-1.4;-1.14;-1.25;-1.63;1.082;1200mHz_12mm_1%0_50um_2mm_3000mW_1_097deg
3;5;5;18;1;90;3;3.2;1;52.5;0.06;0.06;0.08;0.08;0;-0.02;-0.54;-0.83;-0.04;-0.12;0.31;5000mHz_18mm_1%0_90um_3mm_4000mW_1_082deg
3;6;2.7;18;1;50;2;3.2;1;15;0.15;0;0.02;0.32;0.14;-0.7;-0.54;-0.58;-0.46;-0.73;0.602;2700mHz_18mm_1%0_50um_2mm_4000mW_1_045deg
3;7;1.8;12;1;50;1;2.8;1;67.5;-0.59;-0.75;-0.87;-0.43;0;-0.43;-0.41;0;0;-0.1;0.528;1800mHz_12mm_1%0_50um_1mm_3500mW_1_097deg
3;8;0.7;12;1;50;1;2.8;1;75;-1.42;-1.65;-1.53;-1.67;-1.16;2.55;2.66;2.56;2.29;2.26;2.464;0700mHz_12mm_1%0_50um_1mm_3500mW_1_105deg
4;1;1;12;1;50;1;2.8;1;67.5;-0.46;-0.18;-0.16;-0.67;-0.62;-0.26;-0.36;-0.11;1.12;1.95;0.468;1000mHz_12mm_1%0_50um_1mm_3500mW_1_097deg
4;2;1.4;12;1;50;1;2.8;1;75;0.59;0.13;0.33;0.32;0.76;0.24;0.17;-0.1;0.2;0.07;0.426;1400mHz_12mm_1%0_50um_1mm_3500mW_1_105deg
4;3;1;12;1;50;1;2.8;1;75;0.37;0.54;0.19;-0.05;0.22;0.53;0.84;1.35;0.56;1.74;1.004;1000mHz_12mm_1%0_50um_1mm_3500mW_1_105deg
4;4;0.7;12;1;50;1;2.4;1;67.5;-0.54;-0.07;-0.08;-0.82;-1.07;1.69;1.46;1.42;1.34;1.35;1.452;0700mHz_12mm_1%0_50um_1mm_3000mW_1_097deg
4;5;2;12;1;50;2;2.8;1;67.5;0.28;0.12;2.64;2.81;2.4;-0.51;-1.3;-0.64;-0.61;0.72;1.65;2000mHz_12mm_1%0_50um_2mm_3500mW_1_097deg
4;6;1.7;18;1;50;2;3.2;1;45;2.11;1.41;2;0.52;1.65;-1.74;-1.2;-1.58;-1.11;0.08;1.538;1700mHz_18mm_1%0_50um_2mm_4000mW_1_075deg
4;7;0.5;12;1;50;1;2.8;1;75;-5.29;-6.41;-6.26;-4.65;-4.11;3.4;1.63;3.92;0.84;0.57;5.344;0500mHz_12mm_1%0_50um_1mm_3500mW_1_105deg
4;8;0.1;6;0.2;50;1;0.4;0;7.5;0;0;0;0;0;0;0;0;-0.01;0;0.002;0100mHz_06mm_0%2_50um_1mm_0500mW_0_037deg
5;1;0.9;12;1;50;1;2.8;1;67.5;-0.26;0.09;-0.09;-0.12;-0.12;0.47;0.76;0.64;0.7;0.51;0.616;0900mHz_12mm_1%0_50um_1mm_3500mW_1_097deg
5;2;0.1;6;1;50;1;1.6;1;37.5;-0.08;0.28;-0.03;0.83;0.12;-0.7;-0.3;-0.47;-0.45;-0.76;0.536;0100mHz_06mm_1%0_50um_1mm_2000mW_1_067deg
5;3;0.9;12;1;50;1;2.8;1;75;-1.09;0.19;0.63;0.45;0.14;1.06;1.26;0.79;0.31;1.1;0.904;0900mHz_12mm_1%0_50um_1mm_3500mW_1_105deg
5;4;0.6;12;1;50;1;2.4;1;67.5;-1.02;-1.53;-2.23;-2.16;-2.56;1.06;2.28;1.54;2.89;1.35;1.9;0600mHz_12mm_1%0_50um_1mm_3000mW_1_097deg
5;5;1.7;12;1;50;2;2.8;1;67.5;2.7;2.63;2.95;2.29;2.15;-0.28;-0.3;-1.5;-1.77;-1.85;2.544;1700mHz_12mm_1%0_50um_2mm_3500mW_1_097deg
